RunList: 17-43
CSI_0601_L: 30.5
CSI_0601_R: 42.5
CSI_0602_L: 31.5
CSI_0602_R: 38.5
CSI_0603_L: 35.5
CSI_0603_R: 44.5
CSI_0604_L: 35.5
CSI_0604_R: 43.5
CSI_0605_L: 27.5
CSI_0605_R: 37.5
CSI_0606_L: 29.5
CSI_0606_R: 38.5
CSI_0607_L: 30.5
CSI_0607_R: 40.5
CSI_0608_L: 31.5
CSI_0608_R: 40.5
CSI_0609_L: 28.5
CSI_0609_R: 34.5
CSI_0610_L: 32.5
CSI_0610_R: 36.5
CSI_0611_L: 32.5
CSI_0611_R: 37.5
CSI_0612_L: 32.5
CSI_0612_R: 40.5
CSI_0613_L: 29.5
CSI_0613_R: 34.5
CSI_0614_L: 29.5
CSI_0614_R: 37.5
CSI_0615_L: 27.5
CSI_0615_R: 35.5
CSI_0616_L: 25.5
CSI_0616_R: 35.5
CSI_0618_L: 30.5
CSI_0618_R: 36.5
CSI_0619_L: 25.5
CSI_0619_R: 36.5
CSI_0620_L: 25.5
CSI_0620_R: 36.5
CSI_0621_L: 23.5
CSI_0621_R: 29.5
CSI_0623_L: 23.5
CSI_0623_R: 31.5
CSI_0624_L: 20.5
CSI_0624_R: 30.5
CSI_0701_L: 22.5
CSI_0701_R: 36.5
CSI_0702_L: 21.5
CSI_0702_R: 36.5
CSI_0703_L: 25.5
CSI_0703_R: 37.5
CSI_0704_L: 26.5
CSI_0704_R: 38.5
CSI_0706_L: 24.5
CSI_0706_R: 38.5
CSI_0707_L: 24.5
CSI_0707_R: 34.5
CSI_0708_L: 22.5
CSI_0708_R: 35.5
CSI_0709_L: 25.5
CSI_0709_R: 36.5
CSI_0710_L: 24.5
CSI_0710_R: 34.5
CSI_0711_L: 21.5
CSI_0711_R: 35.5
CSI_0712_L: 19.5
CSI_0712_R: 31.5
CSI_0713_L: 20.5
CSI_0713_R: 32.5
CSI_0714_L: 17.5
CSI_0714_R: 30.5
CSI_0715_L: 20.5
CSI_0715_R: 33.5
CSI_0716_L: 19.5
CSI_0716_R: 32.5
CSI_0717_L: 21.5
CSI_0717_R: 32.5
CSI_0718_L: 20.5
CSI_0718_R: 33.5
CSI_0719_L: 19.5
CSI_0719_R: 29.5
CSI_0720_L: 20.5
CSI_0720_R: 31.5
CSI_0721_L: 16.5
CSI_0721_R: 24.5
CSI_0722_L: 18.5
CSI_0722_R: 27.5
CSI_0723_L: 14.5
CSI_0723_R: 27.5
CSI_0724_L: 14.5
CSI_0724_R: 26.5
CSI_0901_L: 30.5
CSI_0901_R: 33.5
CSI_0902_L: 29.5
CSI_0902_R: 33.5
CSI_0903_L: 28.5
CSI_0903_R: 34.5
CSI_0904_L: 31.5
CSI_0904_R: 34.5
CSI_0905_L: 28.5
CSI_0905_R: 32.5
CSI_0906_L: 29.5
CSI_0906_R: 31.5
CSI_0907_L: 26.5
CSI_0907_R: 32.5
CSI_0908_L: 29.5
CSI_0908_R: 32.5
CSI_0909_L: 39.5
CSI_0909_R: 44.5
CSI_0910_L: 43.5
CSI_0910_R: 51.5
CSI_0911_L: 27.5
CSI_0911_R: 31.5
CSI_0912_L: 28.5
CSI_0912_R: 32.5
CSI_0913_L: 25.5
CSI_0913_R: 27.5
CSI_0914_L: 29.5
CSI_0914_R: 32.5
CSI_0915_L: 27.5
CSI_0915_R: 31.5
CSI_0916_L: 22.5
CSI_0916_R: 27.5
CSI_0917_L: 25.5
CSI_0917_R: 29.5
CSI_0918_L: 22.5
CSI_0918_R: 27.5
CSI_0919_L: 24.5
CSI_0919_R: 26.5
CSI_0920_L: 24.5
CSI_0920_R: 27.5
CSI_0921_L: 22.5
CSI_0921_R: 26.5
CSI_0922_L: 24.5
CSI_0922_R: 23.5
CSI_0923_L: 21.5
CSI_0923_R: 23.5
CSI_0924_L: 23.5
CSI_0924_R: 24.5
