RunList: 12-43
SI_0601_GG: 24.7871
SI_0603_GG: 56.7386
SI_0604_GG: 67.7988
SI_0605_GG: 73.3645
SI_0606_GG: 76.168
SI_0607_GG: 77.3758
SI_0608_GG: 67.3316
SI_0609_GG: 26.3205
SI_0610_GG: 91.4998
SI_0613_GG: 81.3176
SI_0614_GG: 51.3841
SI_0616_GG: 81.6217
SI_0619_GG: 80.9355
SI_0620_GG: 71.0367
SI_0621_GG: 72.1983
SI_0622_GG: 89.4433
SI_0623_GG: 79.3557
SI_0624_GG: 73.0018
SI_0701_GG: 110
SI_0702_GG: 86.266
SI_0703_GG: 91.3914
SI_0705_GG: 84.2811
SI_0706_GG: 86.8931
SI_0707_GG: 76.0389
SI_0708_GG: 92.3409
SI_0709_GG: 55.4533
SI_0710_GG: 60.8417
SI_0713_GG: 57.4699
SI_0714_GG: 62.7586
SI_0715_GG: 80.1636
SI_0716_GG: 78.4952
SI_0719_GG: 92.4528
SI_0721_GG: 66.7828
SI_0722_GG: 71.4358
SI_0723_GG: 73.9441
SI_0724_GG: 70.7152
SI_0801_GG: 78.8315
SI_0802_GG: 80.0661
SI_0803_GG: 84.0359
SI_0804_GG: 82.7334
SI_0805_GG: 80.2417
SI_0806_GG: 84.9202
SI_0808_GG: 63.0064
SI_0809_GG: 85.9114
SI_0810_GG: 88.568
SI_0811_GG: 87.0964
SI_0812_GG: 89.5915
SI_0813_GG: 89.6833
SI_0814_GG: 85.8885
SI_0815_GG: 82.4232
SI_0816_GG: 101.196
SI_0817_GG: 46.7486
SI_0818_GG: 39.105
SI_0819_GG: 44.2972
SI_0821_GG: 22.6831
SI_0822_GG: 54.6431
SI_0823_GG: 50.3981
SI_0824_GG: 78.8934
SI_0901_GG: 55.1996
SI_0902_GG: 48.592
SI_0903_GG: 52.1339
SI_0904_GG: 55.9124
SI_0905_GG: 49.9967
SI_0906_GG: 58.5924
SI_0907_GG: 43.7315
SI_0908_GG: 53.1975
SI_0909_GG: 55.4116
SI_0911_GG: 52.908
SI_0912_GG: 62.2385
SI_0913_GG: 57.9859
SI_0915_GG: 51.9426
SI_0916_GG: 57.9796
SI_0917_GG: 93.5287
SI_0918_GG: 82.1587
SI_0919_GG: 99.9032
SI_0920_GG: 104.111
SI_0921_GG: 99.2451
SI_0922_GG: 64.2066
SI_0923_GG: 108.807
SI_0924_GG: 100.853
