run=1 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=2 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=3 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=4 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=5 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=6 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=7 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=8 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=9 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=10 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=11 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=12 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=13 | starting date=Wed Mar  8 22:25:55 2017 | nfiles=10 | size(GB)=0.93
run=14 | starting date=Wed Mar  8 23:58:16 2017 | nfiles=10 | size(GB)=0.93
run=15 | starting date=Thu Mar  9 01:31:24 2017 | nfiles=10 | size(GB)=0.93
run=16 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=17 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=18 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=19 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=20 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=21 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=22 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=23 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=24 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=25 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=26 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=27 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=28 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=29 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=34 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=35 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=36 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=37 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=38 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=39 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=40 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=41 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=42 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=43 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
