# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI2_CSI
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> Q3Amplitude
<VARY> Q2Amplitude
<PARAMETER> IDTelescopes=ID_SI2_CSI_111,ID_SI2_CSI_112,ID_SI2_CSI_113,ID_SI2_CSI_114,ID_SI2_CSI_121,ID_SI2_CSI_122,ID_SI2_CSI_123,ID_SI2_CSI_124,ID_SI2_CSI_131,ID_SI2_CSI_132,ID_SI2_CSI_133,ID_SI2_CSI_134,ID_SI2_CSI_141,ID_SI2_CSI_142,ID_SI2_CSI_143,ID_SI2_CSI_144
<PARAMETER> Runlist=0-16
+KVIDZALine
ID:Z=1 A=1
1	1
19
7.21891   25.7924
10.0194   24.0448
14.9979   21.4975
23.3992   18.8611
31.8006   16.5508
43.3135   14.2997
57.0046   12.1078
71.3179   10.2713
95.2773   8.34594
128.26   6.53909
159.687   5.35427
195.471   4.33472
250.235   3.50536
315.268   2.73522
426.124   2.35779
541.564   1.94311
786.159   1.4268
1462.43   1.03109
2019.69   0.778064
+KVIDZALine
ID:Z=1 A=2
1	2
14
6.1939   35.0655
14.9081   30.9618
30.5154   25.0206
50.9351   20.3657
83.9708   15.1289
129.377   11.2697
196.865   8.21079
240.956   6.8598
299.644   5.79165
367.734   4.61687
550.155   3.4421
773.066   2.56102
1231.48   1.88507
2028.16   1.31575
+KVIDZALine
ID:Z=1 A=3
1	3
15
7.17709   40.7087
13.2422   37.2612
27.3943   32.3271
41.5463   28.0573
72.8829   22.0794
99.6707   18.0916
147.181   13.9166
183.572   11.9556
248.772   9.42533
324.581   7.56466
407.471   6.04649
526.753   4.8446
683.436   3.83248
1005.25   3.02369
2065.52   1.75464
+KVIDZALine
ID:Z=2 A=3
2	3
22
-6.77309   104.392
3.18733   95.7434
20.12   84.9083
40.0409   75.614
67.93   65.8228
103.788   56.3296
138.256   49.2319
192.784   41.4653
266.699   33.6414
332.877   29.242
420.529   24.57
530.093   20.3453
611.009   18.1787
756.572   15.6776
898.598   13.4956
1077.01   11.6331
1244.69   10.3123
1518.02   8.71985
1828.81   7.10991
2300.08   5.86485
2764.76   5.16379
3320.35   4.49026
+KVIDZALine
ID:Z=2 A=4
2	4
22
6.16097   109.502
16.0489   100.842
32.4021   89.9982
52.9387   80.7355
80.7012   70.9457
116.07   61.3818
155.622   54.303
209.625   46.5851
280.743   38.7531
345.609   34.2933
433.46   29.6242
542.988   25.4071
622.207   22.8763
762.541   19.4875
904.52   17.333
1078.16   14.9519
1221.77   13.4924
1480.81   11.567
1778.63   10.2115
2084.08   9.00662
2545.51   7.7451
3539.87   6.11346
+KVIDZALine
ID:Z=2 A=6
2	6
22
7.15535   130.98
18.6393   120.621
37.6318   107.651
61.483   96.5711
93.7263   84.8611
134.804   73.4214
180.739   64.9541
243.459   55.7224
326.054   46.3543
401.391   41.0196
503.42   35.4348
630.627   30.3905
722.632   27.3632
885.615   23.3097
1050.51   20.7328
1252.17   17.8846
1418.96   16.139
1719.82   13.8359
2065.7   12.2144
2420.46   10.7732
2956.35   9.26423
4111.2   7.31256
+KVIDZALine
ID:Z=3 A=6
3	6
22
11.5497   197.152
30.0845   181.485
61.5558   162.105
99.236   145.113
147.706   127.319
214.403   110.168
277.997   97.9875
382.508   82.9986
526.284   69.2086
647.887   61.1557
812.577   52.7305
1020.27   45.2897
1166.89   40.9521
1447.14   35.3525
1710.12   31.4758
2038.52   27.4337
2301.21   24.9137
2823.12   21.1231
3372.81   18.808
3956.05   16.8627
4823.14   14.4152
6636.05   11.0069
+KVIDZALine
ID:Z=3 A=7
3	7
22
11.5426   210.568
37.5153   191.184
68.3581   170.149
106.506   152.416
161.698   133.822
232.312   115.659
311.041   102.162
418.179   87.5163
569.705   73.2921
692.152   64.4501
869.457   55.9996
1086.17   47.8871
1242.82   43.5078
1530.14   37.8362
1811.79   33.3134
2162.42   28.7904
2440.81   26.7085
3021.3   22.6011
3592.36   20.1259
4200.31   18.0149
5140.27   15.3565
7045.31   11.6322
+KVIDZALine
ID:Z=3 A=8
3	8
22
12.9225   222.693
37.2391   201.248
72.6719   179.565
112.968   160.371
172.023   140.821
247.404   121.717
328.343   107.676
440.547   91.9477
602.774   76.9302
743.81   67.9551
934.469   58.6641
1158.58   49.9163
1327.76   44.8512
1641.63   39.2075
1941.94   34.4693
2311.24   30.4489
2624.24   28.0007
3186.19   23.8481
3858.42   21.1231
4493.62   19.262
5479.57   16.9254
7554.54   12.239
+KVIDCutLine
OK:PIEDESTAL
above
10
-0.752064   5.8035
65.0526   5.44554
142.138   3.89825
206.062   2.45489
350.833   1.21936
508.764   0.861402
788.904   0.815215
1036.14   0.87295
1302.18   0.630464
1448.83   0.110851
!
