RunRange: 17-43
SI_0601_GG: 28.5
SI_0602_GG: 52.5
SI_0603_GG: 59.5
SI_0604_GG: 68.5
SI_0605_GG: 74.5
SI_0606_GG: 80.5
SI_0607_GG: 79.5
SI_0608_GG: 72.5
SI_0609_GG: 30.5
SI_0610_GG: 96.5
SI_0611_GG: 77.5
SI_0612_GG: 87.5
SI_0613_GG: 86.5
SI_0614_GG: 72.5
SI_0615_GG: 79.5
SI_0616_GG: 86.5
SI_0617_GG: 23.5
SI_0618_GG: 93.5
SI_0619_GG: 83.5
SI_0620_GG: 74.5
SI_0621_GG: 75.5
SI_0622_GG: 81.5
SI_0623_GG: 80.5
SI_0624_GG: 77.5
SI_0701_GG: 113.5
SI_0702_GG: 89.5
SI_0703_GG: 95.5
SI_0704_GG: 84.5
SI_0705_GG: 20.5
SI_0706_GG: 89.5
SI_0707_GG: 80.5
SI_0708_GG: 96.5
SI_0709_GG: 52.5
SI_0710_GG: 63.5
SI_0711_GG: 59.5
SI_0712_GG: 56.5
SI_0713_GG: 59.5
SI_0714_GG: 65.5
SI_0715_GG: 83.5
SI_0716_GG: 81.5
SI_0717_GG: 79.5
SI_0718_GG: 89.5
SI_0719_GG: 95.5
SI_0720_GG: 55.5
SI_0721_GG: 67.5
SI_0722_GG: 73.5
SI_0723_GG: 74.5
SI_0724_GG: 72.5
SI_0901_GG: 55.5
SI_0902_GG: 50.5
SI_0903_GG: 49.5
SI_0904_GG: 55.5
SI_0905_GG: 49.5
SI_0906_GG: 58.5
SI_0907_GG: 45.5
SI_0908_GG: 52.5
SI_0909_GG: 55.5
SI_0910_GG: 60.5
SI_0911_GG: 53.5
SI_0912_GG: 62.5
SI_0913_GG: 57.5
SI_0914_GG: 63.5
SI_0915_GG: 53.5
SI_0916_GG: 59.5
SI_0917_GG: 93.5
SI_0918_GG: 82.5
SI_0919_GG: 99.5
SI_0920_GG: 102.5
SI_0921_GG: 99.5
SI_0922_GG: 65.5
SI_0923_GG: 111.5
SI_0924_GG: 102.5
